domain,feature,task,start_date,end_date,notes,flag
O&M Existing Tenant Apps,O&M Existing Tenant Apps,Existing Tenant O&M Support,2025-12-01,2027-12-31,Reducing incident rate for Tier 1 tenants,
Onboarding Tenant Apps,HSM DEV,HSM DEV (RMF 0-3),2026-01-15,2026-03-15,,
Onboarding Tenant Apps,HSM DEV,HSM DEV Account Setup,2026-03-15,2026-05-15,,
Onboarding Tenant Apps,HSM DEV,HSM DEV Account Integration,2026-05-15,2026-09-01,,
Onboarding Tenant Apps,HSM DEV,HSM Multi-Tenant Resource Cleanup,2026-08-15,2026-09-01,,
Onboarding Tenant Apps,Tenant X PROD,Tenant X PROD (RMF 0-3),2026-01-15,2026-03-15,,
Onboarding Tenant Apps,Tenant X PROD,Tenant X PROD Account Setup,2026-03-15,2026-05-15,,
Onboarding Tenant Apps,Tenant X PROD,Tenant X PROD Account Integration,2026-05-15,2026-07-01,,
Onboarding Tenant Apps,Tenant X PROD,Tenant X PROD ATO,2026-05-15,2026-07-01,,
Core Services,Kubernetes (Rancher),Rancher RKE1 support,2025-12-01,2026-05-31,Initial EKS support through R2,optional
Core Services,Kubernetes (Rancher),Rancher RKE2 development,2025-12-01,2026-03-30,Initial EKS support through R2,optional
Core Services,Kubernetes (Rancher),Rancher RKE2 Tenant Migration,2026-04-01,2026-05-30,Initial EKS support through R2,optional
Core Services,Kubernetes (Rancher),Rancher RKE2 Tenant Support,2026-04-01,2027-12-30,Initial EKS support through R2,optional
Core Services,Kubernetes (EKS),EKS v1 support,2025-12-01,2026-05-31,Initial EKS support through R2,baseline
Core Services,Kubernetes (EKS),EKS v2 config,2026-02-01,2026-04-30,EKS v2 configuration and rollout,baseline
Core Services,Kubernetes (EKS),AL2023 AMI hardening and STIG,2026-01-01,2026-03-31,AMI hardening and STIG compliance,baseline
Core Services,Kubernetes (EKS),Multi-cluster federation,2026-02-01,2026-07-31,Enables regional failover,baseline
Core Services,Kubernetes (EKS Auto),EKS Auto Discovery,2026-02-01,2026-04-01,"Read up on EKS auto, meet w AWS for questions, deliver findings to client",
Core Services,Kubernetes (EKS Auto),EKS Auto Platform Implementation,2026-04-01,2026-06-01,"Test EKS Auto, will have to have complete for Tenant X by 07-01",
Core Services,Observability,Elastic Support,2025-12-01,2026-05-30,Standard observability stack,baseline
Core Services,Observability,Elastic Support,2026-05-30,2027-12-30,Standard observability stack,optional
Core Services,Observability,Prometheus/Grafana Support,2025-12-01,2026-05-30,Standard observability stack,optional
Core Services,Observability,Prometheus/Grafana Add-ons,2025-12-01,2026-05-30,Standard observability stack,optional
Core Services,Observability,Prometheus/Grafana Support,2026-05-30,2027-12-30,Standard observability stack,baseline
Core Services,OAuth,Keycloak OAUTH2 Support,2025-12-01,2026-05-30,External IdP federation,baseline
Core Services,OAuth,F5 Support,2025-12-01,2026-05-30,Removes dependency of IDAMS LDAP Password and resource configuration and O&M,optional
Core Services,OAuth,F5/DEX/OAUTH2 Developmment,2026-01-30,2026-05-30,Effectively replaces Keycloak so that we can move forward with less external dependencies and a lighter weight baseline to reduce O&M,baseline
Core Services,OAuth,F5/DEX/OAUTH2 Support,2026-05-30,2027-12-30,Effectively replaces Keycloak so that we can move forward with less external dependencies and a lighter weight baseline to reduce O&M,baseline
Core Services,OAuth,F5/DEX/OAUTH2 Support,2026-05-30,2027-12-30,Effectively replaces Keycloak so that we can move forward with less external dependencies and a lighter weight baseline to reduce O&M,baseline
Core Services,CICD,GitLab Support,2025-12-01,2027-12-30,"Standardized pipelines across tenants, hardenening scripts, devops tools like certbot",baseline
